Weight (kg),Activity Level (steps),Heart Rate (bpm),Calorie Burn,Temperature (C),Food Intake (calories),Water Intake (ml),Breathing Rate (breaths/min),Barking Frequency,Behaviour Pattern
11.7075,839,119,41.3,30.4,0,0,28,Medium,Playing
11.7075,1491,130,70.8,34.7,0,0,37,Low,Walking
11.7075,409,117,21.2,29,0,38.2,21,None,Normal
11.7075,419,109,21.6,25.2,0,98.1,22,None,Normal
11.7075,0,111,1,27.5,0,0,15,None,Sleeping
11.7028,0,108,3,25.3,0,0,19,None,Sleeping
11.7028,0,106,3,24.9,0,0,18,None,Sleeping
11.7028,0,109,1,27.2,0,0,17,None,Sleeping
11.7028,0,102,1,26.4,0,0,20,None,Sleeping
11.7028,0,106,3,26.5,0,0,15,None,Sleeping
11.7028,0,106,3,27.5,0,0,20,None,Sleeping
11.7028,0,110,3,25.3,0,0,17,None,Sleeping
11.7028,0,112,3,27,0,0,18,None,Sleeping
11.7028,0,109,2,24.7,0,0,17,None,Sleeping
11.7028,245,109,12.5,29.5,291,158.3,24,None,Eating
11.7028,1412,120,68.1,31.8,0,0,31,High,Walking
11.7028,1000,129,48.8,30.4,0,0,33,Medium,Playing
11.7028,491,109,24,27.2,0,45.2,28,Low,Normal
11.7028,383,107,18.9,25.6,0,61.2,20,None,Normal
11.7028,375,111,20.6,26.8,0,27.4,20,Low,Normal
11.7028,353,105,19.5,28.8,0,71.8,18,None,Normal
11.7028,164,108,8.7,29,201.4,212.2,22,None,Eating
11.7028,348,110,19.3,27,0,57.9,23,Low,Normal
11.7028,401,112,19.8,25.3,0,12.9,21,Low,Normal
11.7028,1946,130,94.1,32.3,0,0,34,High,Walking
11.7028,1063,136,52.8,31.3,0,0,28,Medium,Playing
11.7028,524,106,25.5,25.6,0,28.8,21,None,Normal
11.7028,334,107,18.6,26.6,0,59.3,20,Low,Normal
11.7028,0,106,2,26.2,0,0,19,None,Sleeping
11.705,0,112,2,24.7,0,0,15,None,Sleeping
11.705,0,102,3,27.1,0,0,19,None,Sleeping
11.705,0,108,2,25.5,0,0,16,None,Sleeping
11.705,0,107,3,25.6,0,0,17,None,Sleeping
11.705,0,101,2,27.2,0,0,17,None,Sleeping
11.705,0,106,3,26.8,0,0,19,None,Sleeping
11.705,0,113,1,26.1,0,0,15,None,Sleeping
11.705,0,112,2,25.2,0,0,15,None,Sleeping
11.705,0,108,1,27.3,0,0,15,None,Sleeping
11.705,121,104,7.7,27.3,290,106.2,27,None,Eating
11.705,1802,115,86.4,34.1,0,0,33,Medium,Walking
11.705,443,112,23.7,26.6,0,95.9,18,None,Normal
11.705,380,108,18.8,26.8,0,89.6,21,Low,Normal
11.705,358,106,17.8,27.7,0,23.8,22,None,Normal
11.705,775,121,37.3,29.8,0,0,31,Low,Playing
11.705,260,109,14.2,25.2,0,40.6,20,Low,Normal
11.705,325,107,17.2,27.8,0,5.5,22,None,Normal
11.705,238,103,14.1,27.3,289.4,199.8,27,None,Eating
11.705,283,107,16.3,29.5,0,20.1,23,Low,Normal
11.705,1786,136,85.6,31.3,0,0,25,None,Walking
11.705,1240,124,60.1,32.1,0,0,30,Medium,Playing
11.705,516,107,26.2,27,0,67.6,24,None,Normal
11.705,0,106,2,25.8,0,0,17,None,Sleeping
11.705,0,106,2,27,0,0,17,None,Sleeping
11.7221,0,110,2,27.4,0,0,17,None,Sleeping
11.7221,0,111,2,25.9,0,0,16,None,Sleeping
11.7221,0,104,2,25.7,0,0,16,None,Sleeping
11.7221,0,111,2,27.4,0,0,20,None,Sleeping
11.7221,0,109,3,24.6,0,0,17,None,Sleeping
11.7221,0,112,3,26.3,0,0,16,None,Sleeping
11.7221,0,110,3,25.6,0,0,20,None,Sleeping
11.7221,0,107,1,25.9,0,0,18,None,Sleeping
11.7221,0,101,3,26,0,0,18,None,Sleeping
11.7221,240,109,14.3,26.4,303.2,53.1,24,None,Eating
11.7221,2184,115,105.4,30.9,0,0,33,Medium,Walking
11.7221,333,104,18.6,25.5,0,34.5,24,Low,Normal
11.7221,1482,128,71.5,30.6,0,0,21,High,Playing
11.7221,0,106,3,25.4,0,0,17,None,Sleeping
11.7221,116,105,7.4,25.7,0,105.3,21,Low,Normal
11.7221,306,107,15.3,29.5,0,14.6,18,Low,Normal
11.7221,222,107,13.4,24.7,250.9,256.5,26,None,Eating
11.7221,318,115,15.9,26.7,0,78.3,27,None,Normal
11.7221,427,111,22,26.5,0,4.7,23,None,Normal
11.7221,914,139,43.9,32.5,0,0,23,Medium,Playing
11.7221,605,131,30.4,29.6,0,0,32,High,Walking
11.7221,451,109,24.1,25.8,0,54,28,Low,Normal
11.7221,0,105,2,26,0,0,17,None,Sleeping
11.7221,0,103,2,24.8,0,0,18,None,Sleeping
11.7408,0,112,3,26.5,0,0,17,None,Sleeping
11.7408,0,103,1,25,0,0,19,None,Sleeping
11.7408,0,108,2,24.7,0,0,20,None,Sleeping
11.7408,0,102,1,25.9,0,0,19,None,Sleeping
11.7408,0,112,3,24.8,0,0,20,None,Sleeping
11.7408,0,111,2,24.9,0,0,17,None,Sleeping
11.7408,0,110,3,25.3,0,0,15,None,Sleeping
11.7408,0,104,2,25.3,0,0,18,None,Sleeping
11.7408,0,109,2,26.7,0,0,15,None,Sleeping
11.7408,116,102,6.4,27.7,283.7,171.4,19,None,Eating
11.7408,3004,130,142.1,32.4,0,0,33,Medium,Walking
11.7408,1480,127,71.5,29.9,0,0,25,High,Playing
11.7408,706,132,35.2,31,0,0,28,Medium,Playing
11.7408,232,110,11.9,26.5,0,74.4,18,Low,Normal
11.7408,749,125,36.2,30.1,0,0,30,High,Playing
11.7408,441,109,21.7,28.8,0,21.3,21,Low,Normal
11.7408,0,105,1,26.3,0,0,17,None,Sleeping
11.7408,372,108,19.5,27.2,270.3,215.9,21,None,Eating
11.7408,515,108,27.2,27.3,0,94.6,19,None,Normal
11.7408,2108,112,102,29.9,0,0,38,Medium,Walking
11.7408,0,108,2,27.1,0,0,20,None,Sleeping
11.7408,1261,124,61.2,31.6,0,0,26,Medium,Playing
11.7408,0,105,2,26.9,0,0,19,None,Sleeping
11.7408,0,109,2,24.5,0,0,18,None,Sleeping
11.7399,0,107,3,26.9,0,0,20,None,Sleeping
11.7399,0,107,2,25.8,0,0,20,None,Sleeping
11.7399,0,108,2,25.9,0,0,17,None,Sleeping
11.7399,0,102,3,24.8,0,0,15,None,Sleeping
11.7399,0,109,1,26.3,0,0,17,None,Sleeping
11.7399,0,103,3,26.8,0,0,16,None,Sleeping
11.7399,0,109,2,26.7,0,0,16,None,Sleeping
11.7399,0,108,1,24.8,0,0,17,None,Sleeping
11.7399,0,107,3,24.8,0,0,16,None,Sleeping
11.7399,1883,127,90.4,32.3,0,0,30,High,Walking
11.7399,332,109,18.6,27.9,305.1,239.5,22,None,Eating
11.7399,389,114,21.3,26.9,0,3.7,27,None,Normal
11.7399,709,122,35.3,30.1,0,0,34,Low,Playing
11.7399,522,108,25.5,25,0,71.8,17,Low,Normal
11.7399,2065,129,99,31.6,0,0,32,None,Walking
11.7399,1097,117,52.5,31.4,0,0,31,Medium,Walking
11.7399,518,130,26.3,28.3,0,0,25,High,Playing
11.7399,1264,122,60.4,31.4,0,0,28,Medium,Playing
11.7399,254,109,12.9,29.3,303.2,193.7,26,None,Eating
11.7399,526,110,26.7,28.5,0,12,24,None,Normal
11.7399,1713,128,82.4,29.6,0,0,35,High,Playing
11.7399,137,111,9.4,27.3,289,188.6,21,None,Eating
11.7399,958,130,47,30.4,0,0,27,Medium,Playing
11.7399,0,110,2,25.3,0,0,15,None,Sleeping
11.7747,0,107,1,24.6,0,0,17,None,Sleeping
11.7747,0,108,1,24.6,0,0,19,None,Sleeping
11.7747,0,110,3,26.5,0,0,20,None,Sleeping
11.7747,0,107,2,24.9,0,0,20,None,Sleeping
11.7747,0,111,2,26.7,0,0,20,None,Sleeping
11.7747,0,106,3,25.5,0,0,16,None,Sleeping
11.7747,0,110,1,27.4,0,0,16,None,Sleeping
11.7747,0,110,3,25.7,0,0,15,None,Sleeping
11.7747,0,104,2,25.5,0,0,20,None,Sleeping
11.7747,0,104,1,26.1,0,0,17,None,Sleeping
11.7747,0,107,2,25.7,0,0,18,None,Sleeping
11.7747,2564,133,122.8,31.8,0,0,31,Low,Walking
11.7747,487,114,25.9,28.3,0,8.7,20,None,Normal
11.7747,262,106,13.3,29,204.5,81.3,19,None,Eating
11.7747,146,106,8.9,26.5,0,88.9,23,None,Normal
11.7747,3178,132,152.7,31.3,0,0,24,Medium,Walking
11.7747,587,129,28.6,30.3,0,0,24,Low,Walking
11.7747,970,127,48.7,29.9,0,0,23,Low,Playing
11.7747,547,109,26.8,25.5,0,3,17,Low,Normal
11.7747,223,103,11.5,25.8,162.9,225.7,25,None,Eating
11.7747,410,107,20.3,29,0,61.9,23,None,Normal
11.7747,283,107,14.3,25.5,0,84.8,22,Low,Normal
11.7747,463,114,23.8,29,0,33.5,21,None,Normal
11.7747,0,104,1,24.6,0,0,17,None,Sleeping
11.7549,0,112,2,27,0,0,19,None,Sleeping
11.7549,0,105,3,27.5,0,0,17,None,Sleeping
11.7549,0,106,1,25.2,0,0,16,None,Sleeping
11.7549,0,110,2,26.6,0,0,19,None,Sleeping
11.7549,0,101,3,26.3,0,0,16,None,Sleeping
11.7549,0,107,1,25.5,0,0,15,None,Sleeping
11.7549,0,111,1,26.6,0,0,16,None,Sleeping
11.7549,0,106,3,25.9,0,0,16,None,Sleeping
11.7549,201,113,11.5,27,262.5,223.2,22,None,Eating
11.7549,2037,128,96.8,28.7,0,0,38,None,Walking
11.7549,1363,110,65.1,29.4,0,0,29,Medium,Playing
11.7549,184,105,9.7,25.9,0,67,22,None,Normal
11.7549,0,111,1,26.8,0,0,19,None,Sleeping
11.7549,352,104,19.6,26.4,0,50,22,Low,Normal
11.7549,372,110,18.5,26.2,0,10.6,23,Low,Normal
11.7549,1238,118,60.2,31.4,0,0,23,Medium,Playing
11.7549,110,107,7.2,25.1,233.2,223.8,24,None,Eating
11.7549,352,114,18.6,27,0,13.2,22,None,Normal
11.7549,467,120,25,29.7,0,0,30,Medium,Playing
11.7549,1039,137,49.9,32.9,0,0,34,Low,Walking
11.7549,1346,127,65.3,30.6,0,0,23,High,Playing
11.7549,0,103,1,26.6,0,0,16,None,Sleeping
11.7549,0,107,3,26.4,0,0,15,None,Sleeping
11.7549,0,105,1,26.1,0,0,20,None,Sleeping
11.7583,0,103,1,27.4,0,0,19,None,Sleeping
11.7583,0,107,3,26.8,0,0,19,None,Sleeping
11.7583,0,103,1,27.2,0,0,19,None,Sleeping
11.7583,0,103,3,26.2,0,0,20,None,Sleeping
11.7583,0,107,3,25.9,0,0,17,None,Sleeping
11.7583,0,101,1,26.1,0,0,15,None,Sleeping
11.7583,0,104,2,24.7,0,0,16,None,Sleeping
11.7583,0,102,3,24.6,0,0,16,None,Sleeping
11.7583,0,106,2,25.3,0,0,19,None,Sleeping
11.7583,224,110,13.5,27.4,160.2,229.7,24,None,Eating
11.7583,823,127,41.7,29.2,0,0,37,High,Walking
11.7583,301,109,15.2,25.1,0,95.9,19,None,Normal
11.7583,488,110,26,28.6,0,49.4,20,None,Normal
11.7583,357,114,18.8,27.7,0,48.9,23,None,Normal
11.7583,363,110,19.1,28.6,0,15.6,26,Low,Normal
11.7583,199,106,12.4,28.7,0,22.6,28,Low,Normal
11.7583,296,114,16.9,26.7,223.7,191.3,20,None,Eating
11.7583,322,114,16.1,27.2,0,1.6,19,None,Normal
11.7583,506,109,24.8,27.2,0,42.2,22,None,Normal
11.7583,915,122,45,30.4,0,0,40,None,Walking
11.7583,1570,137,74.8,29.4,0,0,23,Low,Playing
11.7583,0,102,1,25.8,0,0,20,None,Sleeping
11.7583,0,108,3,24.6,0,0,16,None,Sleeping
11.7583,0,109,1,25.7,0,0,20,None,Sleeping
11.7629,0,104,3,26.9,0,0,18,None,Sleeping
11.7629,0,102,3,27.5,0,0,15,None,Sleeping
11.7629,0,112,3,25.6,0,0,17,None,Sleeping
11.7629,0,111,3,27.2,0,0,17,None,Sleeping
11.7629,0,103,3,24.7,0,0,17,None,Sleeping
11.7629,0,101,3,26.1,0,0,17,None,Sleeping
11.7629,0,107,1,26.7,0,0,20,None,Sleeping
11.7629,130,107,8.1,27.9,218.9,98.3,23,None,Eating
11.7629,1424,139,70,30,0,0,34,High,Walking
11.7629,0,106,2,25.2,0,0,17,None,Sleeping
11.7629,609,138,30.7,30.9,0,0,26,Low,Playing
11.7629,328,109,18.4,26.3,0,103.7,17,Low,Normal
11.7629,0,108,3,26.9,0,0,16,None,Sleeping
11.7629,467,107,23,25.7,0,29.4,22,Low,Normal
11.7629,299,111,16.1,27.4,0,36.8,25,None,Normal
11.7629,166,112,9.8,24.5,0,18.8,24,None,Normal
11.7629,395,116,19.6,28.2,0,36.3,17,Low,Normal
11.7629,119,116,6.6,27.8,251.7,173.2,17,None,Eating
11.7629,0,105,2,25.3,0,0,20,None,Sleeping
11.7629,251,111,12.8,27.4,0,35.2,20,None,Normal
11.7629,2628,134,126.7,34.7,0,0,27,None,Walking
11.7629,980,133,49.1,27.6,0,0,35,Medium,Playing
11.7629,0,110,1,25,0,0,15,None,Sleeping
11.7629,0,102,1,26.6,0,0,18,None,Sleeping
11.7697,0,104,1,25.7,0,0,19,None,Sleeping
11.7697,0,106,1,26.8,0,0,19,None,Sleeping
11.7697,0,105,3,25.4,0,0,17,None,Sleeping
11.7697,0,111,2,26.5,0,0,16,None,Sleeping
11.7697,0,109,3,26.9,0,0,15,None,Sleeping
11.7697,0,109,3,25.4,0,0,20,None,Sleeping
11.7697,0,102,3,24.7,0,0,19,None,Sleeping
11.7697,101,105,7.8,28.4,158.1,261.4,26,None,Eating
11.7697,1235,131,60.1,32.6,0,0,27,Medium,Walking
11.7697,408,106,21.2,27.7,0,71.7,27,Low,Normal
11.7697,586,112,28.6,32.3,0,0,27,High,Playing
11.7697,280,110,14.2,26.1,0,57.2,25,None,Normal
11.7697,1551,117,74,30,0,0,29,Medium,Playing
11.7697,410,112,22.3,27.9,0,23.9,26,Low,Normal
11.7697,271,114,13.8,26.5,0,49.5,21,Low,Normal
11.7697,251,113,14.8,24.6,0,15.7,19,None,Normal
11.7697,377,106,20.7,26.6,0,7,22,None,Normal
11.7697,149,107,10,25.3,188.5,192.3,23,None,Eating
11.7697,340,108,19,27.3,0,97.4,21,None,Normal
11.7697,3113,115,147.6,32.9,0,0,32,High,Walking
11.7697,537,107,28.3,26.8,0,49.5,25,None,Normal
11.7697,0,108,3,24.8,0,0,15,None,Sleeping
11.7697,0,104,3,25.8,0,0,17,None,Sleeping
11.7697,0,112,3,26.1,0,0,20,None,Sleeping
11.7487,0,104,3,26.2,0,0,20,None,Sleeping
11.7487,0,108,1,26.8,0,0,15,None,Sleeping
11.7487,0,108,2,26.5,0,0,16,None,Sleeping
11.7487,0,103,2,24.9,0,0,15,None,Sleeping
11.7487,0,110,3,25.8,0,0,16,None,Sleeping
11.7487,0,108,3,27.4,0,0,16,None,Sleeping
11.7487,0,110,3,27.5,0,0,19,None,Sleeping
11.7487,0,101,1,27.3,0,0,18,None,Sleeping
11.7487,0,113,1,25.1,0,0,16,None,Sleeping
11.7487,233,109,11.9,26.3,161.8,164.9,22,None,Eating
11.7487,2804,133,132.8,31.2,0,0,36,High,Walking
11.7487,485,105,25.8,26.4,0,81.1,21,None,Normal
11.7487,883,116,43.5,30.3,0,0,32,Medium,Playing
11.7487,0,108,3,25.9,0,0,16,None,Sleeping
11.7487,990,121,48.5,29.9,0,0,30,High,Playing
11.7487,1050,117,52.3,30.1,0,0,33,Medium,Playing
11.7487,211,108,12.9,29,184.5,91.6,17,None,Eating
11.7487,519,109,25.4,27,0,89.9,22,Low,Normal
11.7487,343,113,19.1,25.6,0,2.7,22,Low,Normal
11.7487,792,119,38.2,28.5,0,0,34,Low,Walking
11.7487,426,104,22,26.8,0,1.3,25,Low,Normal
11.7487,543,110,28.5,29.1,0,22,21,None,Normal
11.7487,0,104,2,26.5,0,0,16,None,Sleeping
11.7487,0,110,1,24.7,0,0,18,None,Sleeping
11.7306,0,110,2,25,0,0,16,None,Sleeping
11.7306,0,102,3,25.4,0,0,16,None,Sleeping
11.7306,0,109,1,25.8,0,0,17,None,Sleeping
11.7306,0,103,1,24.6,0,0,17,None,Sleeping
11.7306,0,103,2,27,0,0,18,None,Sleeping
11.7306,0,107,1,25.8,0,0,19,None,Sleeping
11.7306,0,109,3,27,0,0,19,None,Sleeping
11.7306,0,105,3,25.2,0,0,19,None,Sleeping
11.7306,0,103,3,25.7,0,0,20,None,Sleeping
11.7306,1305,120,63.2,33.3,0,0,30,None,Walking
11.7306,151,111,8.1,27.9,0,58.1,22,None,Normal
11.7306,218,116,12.2,26.4,228.8,135.9,24,None,Eating
11.7306,578,132,30.1,28.4,0,0,23,Medium,Playing
11.7306,168,108,10.9,27.3,0,61.7,20,Low,Normal
11.7306,2080,119,99.6,30.1,0,0,36,Low,Walking
11.7306,898,119,44.1,32.5,0,0,32,None,Walking
11.7306,2243,124,108.2,28.8,0,0,33,High,Walking
11.7306,458,114,24.5,25.9,0,86.8,21,None,Normal
11.7306,322,106,16.1,25.9,0,45.9,25,None,Normal
11.7306,245,111,13.5,25.8,188.5,222,25,None,Eating
11.7306,360,107,18.9,28.2,0,98.1,20,Low,Normal
11.7306,200,115,11.4,26.7,245.3,247,21,None,Eating
11.7306,262,106,15.3,27.3,0,27.9,22,None,Normal
11.7306,0,104,3,24.6,0,0,19,None,Sleeping
11.752,0,105,1,26.1,0,0,19,None,Sleeping
11.752,0,105,2,26.8,0,0,15,None,Sleeping
11.752,0,105,3,27.2,0,0,19,None,Sleeping
11.752,0,108,3,25.3,0,0,16,None,Sleeping
11.752,0,112,1,25.6,0,0,15,None,Sleeping
11.752,0,110,3,26.7,0,0,16,None,Sleeping
11.752,0,112,3,26.2,0,0,20,None,Sleeping
11.752,0,106,2,25.4,0,0,18,None,Sleeping
11.752,0,112,1,25.9,0,0,15,None,Sleeping
11.752,0,111,2,25.2,0,0,15,None,Sleeping
11.752,0,106,3,24.8,0,0,20,None,Sleeping
11.752,2755,125,132.5,32.5,0,0,28,High,Walking
11.752,253,111,13.9,26.5,292.8,53.7,28,None,Eating
11.752,331,110,18.6,27.5,0,34.8,24,Low,Normal
11.752,2181,128,103.5,30.6,0,0,34,None,Walking
11.752,1474,137,71.3,33.5,0,0,27,Medium,Walking
11.752,483,110,24.7,26.5,0,13.5,21,Low,Normal
11.752,876,136,44.2,28.8,0,0,28,High,Playing
11.752,349,104,17.4,27.3,236.5,198.5,22,None,Eating
11.752,1645,122,80.3,31,0,0,27,High,Playing
11.752,398,111,19.7,25.6,0,78.1,16,None,Normal
11.752,382,113,21,26.6,254.4,61.4,24,None,Eating
11.752,439,111,21.6,26,0,83,26,Low,Normal
11.752,0,109,1,26.8,0,0,19,None,Sleeping
11.7767,0,102,3,27.3,0,0,15,None,Sleeping
11.7767,0,104,3,25.9,0,0,15,None,Sleeping
11.7767,0,106,3,25.8,0,0,15,None,Sleeping
11.7767,0,109,1,27.1,0,0,17,None,Sleeping
11.7767,0,111,2,26,0,0,18,None,Sleeping
11.7767,0,106,3,25.6,0,0,19,None,Sleeping
11.7767,0,109,2,25.5,0,0,16,None,Sleeping
11.7767,170,113,9,27.5,190.2,142.2,24,None,Eating
11.7767,3055,123,145.9,31.7,0,0,30,High,Walking
11.7767,317,105,15.9,24.7,0,20.4,18,None,Normal
11.7767,1354,128,65.8,30.5,0,0,32,Low,Playing
11.7767,1398,117,68.9,29.9,0,0,21,Low,Playing
11.7767,241,104,13.4,27.3,0,88.9,25,None,Normal
11.7767,298,107,15,27.1,0,29.6,22,Low,Normal
11.7767,269,106,14.7,28.1,0,104.7,21,None,Normal
11.7767,434,111,22.4,27,0,78.8,26,None,Normal
11.7767,352,107,19.6,25.5,0,21.1,21,None,Normal
11.7767,279,111,15.1,27.7,189.9,257.3,18,None,Eating
11.7767,379,108,18.9,26.8,0,41,19,Low,Normal
11.7767,2342,118,113.3,32.6,0,0,34,Low,Walking
11.7767,814,134,41.3,30.6,0,0,29,Low,Playing
11.7767,1275,133,63.1,31.6,0,0,30,Low,Playing
11.7767,0,108,2,26.1,0,0,19,None,Sleeping
11.7767,0,104,2,25.7,0,0,19,None,Sleeping
11.7399,0,109,1,26.4,0,0,19,None,Sleeping
11.7399,0,104,3,27.1,0,0,18,None,Sleeping
11.7399,0,111,2,25.7,0,0,18,None,Sleeping
11.7399,0,112,3,27,0,0,19,None,Sleeping
11.7399,0,109,2,25.3,0,0,18,None,Sleeping
11.7399,0,109,3,26.7,0,0,18,None,Sleeping
11.7399,0,109,1,26,0,0,17,None,Sleeping
11.7399,0,110,2,26.1,0,0,17,None,Sleeping
11.7399,272,107,13.8,26.4,191.5,53.6,22,None,Eating
11.7399,1579,122,75.1,29.6,0,0,37,None,Walking
11.7399,526,104,26.7,26.1,0,33.5,23,Low,Normal
11.7399,546,108,26.6,29.4,0,22.8,24,Low,Normal
11.7399,299,110,17,27.1,0,27.1,20,Low,Normal
11.7399,312,106,17.7,25.1,0,69.7,19,None,Normal
11.7399,188,111,9.8,26.8,0,5.8,22,Low,Normal
11.7399,161,110,8.6,26.6,0,9.2,23,Low,Normal
11.7399,360,107,19.9,26.7,213.6,152.7,19,None,Eating
11.7399,237,111,13.1,27.2,0,61.1,22,None,Normal
11.7399,1604,119,76.3,29.1,0,0,27,Low,Playing
11.7399,887,114,42.7,28.4,0,0,31,High,Playing
11.7399,2651,115,125.5,30.6,0,0,31,Low,Walking
11.7399,1599,129,77.1,30.5,0,0,28,Medium,Playing
11.7399,324,114,17.2,25.4,0,54,28,None,Normal
11.7399,0,101,2,26.8,0,0,20,None,Sleeping
11.7163,0,110,1,24.8,0,0,17,None,Sleeping
11.7163,0,109,1,25.2,0,0,16,None,Sleeping
11.7163,0,113,2,27.3,0,0,15,None,Sleeping
11.7163,0,103,3,26.5,0,0,17,None,Sleeping
11.7163,0,106,3,25.9,0,0,15,None,Sleeping
11.7163,0,102,3,26.8,0,0,18,None,Sleeping
11.7163,0,110,3,27.4,0,0,15,None,Sleeping
11.7163,307,113,17.4,29,291.5,186,21,None,Eating
11.7163,2776,125,133.1,33.9,0,0,38,Low,Walking
11.7163,463,113,24.7,26.6,0,66.8,21,None,Normal
11.7163,569,104,27.7,28.3,0,48.1,24,None,Normal
11.7163,784,130,37.7,28.5,0,0,26,High,Playing
11.7163,1707,121,82,28.9,0,0,25,Low,Playing
11.7163,270,110,14.7,28.9,0,87.1,25,Low,Normal
11.7163,306,113,15.3,28,0,28.4,26,Low,Normal
11.7163,146,112,7.8,27.3,0,44.9,21,Low,Normal
11.7163,198,112,10.3,27.9,280.7,231.5,20,None,Eating
11.7163,183,111,9.6,28.5,0,32.6,26,None,Normal
11.7163,876,119,43.1,32.2,0,0,35,Low,Playing
11.7163,1680,121,81.7,35.4,0,0,36,Low,Walking
11.7163,383,116,20.9,27.1,0,1.4,22,Low,Normal
11.7163,0,102,3,24.5,0,0,16,None,Sleeping
11.7163,0,102,3,25.7,0,0,19,None,Sleeping
11.7163,0,106,1,25,0,0,16,None,Sleeping
11.7194,0,112,2,27.2,0,0,19,None,Sleeping
11.7194,0,110,1,26.7,0,0,17,None,Sleeping
11.7194,0,105,2,25.8,0,0,20,None,Sleeping
11.7194,0,103,1,25.1,0,0,17,None,Sleeping
11.7194,0,103,3,26.2,0,0,16,None,Sleeping
11.7194,0,112,1,27.3,0,0,18,None,Sleeping
11.7194,0,102,1,26.5,0,0,16,None,Sleeping
11.7194,0,109,3,25.2,0,0,18,None,Sleeping
11.7194,0,109,3,26.5,0,0,15,None,Sleeping
11.7194,195,111,10.1,28.4,244,149.9,17,None,Eating
11.7194,2858,128,136,29.5,0,0,39,High,Walking
11.7194,1438,124,70.4,29.6,0,0,33,High,Playing
11.7194,317,107,15.9,26.7,0,71.9,16,None,Normal
11.7194,307,109,16.4,27.4,0,79,22,None,Normal
11.7194,342,111,18,27.9,0,55.4,23,Low,Normal
11.7194,469,110,25,27.9,0,36.4,21,Low,Normal
11.7194,869,131,42.7,29.3,0,0,30,High,Playing
11.7194,322,116,18.1,25.6,163.3,110.3,21,None,Eating
11.7194,0,103,2,27.2,0,0,16,None,Sleeping
11.7194,1679,115,79.7,32.3,0,0,33,High,Walking
11.7194,356,109,19.7,25.3,0,52.2,19,Low,Normal
11.7194,511,112,26,24.8,0,38.4,20,None,Normal
11.7194,402,105,21.8,29.2,0,10.3,23,Low,Normal
11.7194,0,101,2,25.2,0,0,19,None,Sleeping
11.7046,0,103,2,26.9,0,0,15,None,Sleeping
11.7046,0,105,3,25.3,0,0,18,None,Sleeping
11.7046,0,112,1,25.1,0,0,19,None,Sleeping
11.7046,0,105,2,25.5,0,0,20,None,Sleeping
11.7046,0,103,1,26.8,0,0,17,None,Sleeping
11.7046,0,110,1,25.6,0,0,20,None,Sleeping
11.7046,0,107,2,25.4,0,0,15,None,Sleeping
11.7046,0,109,2,25.5,0,0,15,None,Sleeping
11.7046,0,102,1,26.7,0,0,15,None,Sleeping
11.7046,207,111,12.7,26.2,291.1,229.4,26,None,Eating
11.7046,824,129,40.6,33.2,0,0,28,Medium,Walking
11.7046,734,121,36.4,29.9,0,0,25,High,Playing
11.7046,295,113,15.8,29.3,0,39.1,24,Low,Normal
11.7046,334,106,16.6,27,0,37.1,22,None,Normal
11.7046,190,109,9.9,28,0,86.9,23,Low,Normal
11.7046,307,105,16.4,26.9,0,49.4,18,Low,Normal
11.7046,263,116,15.3,26.9,169.2,66.9,21,None,Eating
11.7046,725,138,35.9,28.7,0,0,33,Medium,Playing
11.7046,1284,122,63.1,30.8,0,0,33,High,Playing
11.7046,990,126,47.4,28.9,0,0,26,High,Playing
11.7046,3014,126,144.1,31.2,0,0,25,Medium,Walking
11.7046,0,112,2,27.3,0,0,16,None,Sleeping
11.7046,0,107,2,25.8,0,0,15,None,Sleeping
11.7046,0,103,1,27.4,0,0,15,None,Sleeping
11.7028,0,113,1,27.2,0,0,18,None,Sleeping
11.7028,0,104,2,25.3,0,0,19,None,Sleeping
11.7028,0,104,2,26.6,0,0,19,None,Sleeping
11.7028,0,111,3,25.5,0,0,15,None,Sleeping
11.7028,0,109,1,24.6,0,0,17,None,Sleeping
11.7028,0,105,1,25.6,0,0,19,None,Sleeping
11.7028,0,111,1,26.9,0,0,15,None,Sleeping
11.7028,0,104,1,24.8,0,0,19,None,Sleeping
11.7028,0,112,1,26.5,0,0,19,None,Sleeping
11.7028,1748,127,84.8,32,0,0,28,Medium,Walking
11.7028,357,117,19.7,28.4,305.6,246.3,25,None,Eating
11.7028,438,112,23.5,25.5,0,34.2,24,None,Normal
11.7028,1469,128,69.8,29.6,0,0,32,Low,Playing
11.7028,1365,122,64.9,29.2,0,0,26,High,Playing
11.7028,1452,115,71,30.4,0,0,28,High,Playing
11.7028,2774,123,131.9,33.2,0,0,34,None,Walking
11.7028,1545,114,75.3,31.4,0,0,29,Low,Walking
11.7028,1589,128,77.4,30.6,0,0,30,Low,Playing
11.7028,0,111,2,25.7,0,0,17,None,Sleeping
11.7028,298,106,16.9,25.2,303.3,134.1,27,None,Eating
11.7028,479,104,25.4,28.5,0,43.3,21,None,Normal
11.7028,465,106,24.8,26.5,0,28.7,20,None,Normal
11.7028,196,105,12.2,24.5,0,60.6,28,Low,Normal
11.7028,0,104,3,25.9,0,0,19,None,Sleeping
11.6889,0,110,2,25,0,0,17,None,Sleeping
11.6889,0,109,3,25.5,0,0,16,None,Sleeping
11.6889,0,103,2,26.9,0,0,17,None,Sleeping
11.6889,0,111,1,27,0,0,16,None,Sleeping
11.6889,0,107,3,26.9,0,0,15,None,Sleeping
